[2024-10-06T19:17:06.828+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-01-20T00:00:00+00:00 [queued]>
[2024-10-06T19:17:06.838+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-01-20T00:00:00+00:00 [queued]>
[2024-10-06T19:17:06.839+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-10-06T19:17:06.854+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): fetch_flights_data> on 2024-01-20 00:00:00+00:00
[2024-10-06T19:17:06.859+0000] {standard_task_runner.py:57} INFO - Started process 693 to run task
[2024-10-06T19:17:06.863+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'flight_data_pipeline', 'fetch_flights_data', 'scheduled__2024-01-20T00:00:00+00:00', '--job-id', '44', '--raw', '--subdir', 'DAGS_FOLDER/flights_dag.py', '--cfg-path', '/tmp/tmpx54wsnie']
[2024-10-06T19:17:06.865+0000] {standard_task_runner.py:85} INFO - Job 44: Subtask fetch_flights_data
[2024-10-06T19:17:06.884+0000] {logging_mixin.py:154} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-10-06T19:17:06.926+0000] {task_command.py:416} INFO - Running <TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-01-20T00:00:00+00:00 [running]> on host ea71d0098a44
[2024-10-06T19:17:07.016+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='flight_data_pipeline' AIRFLOW_CTX_TASK_ID='fetch_flights_data' AIRFLOW_CTX_EXECUTION_DATE='2024-01-20T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-01-20T00:00:00+00:00'
[2024-10-06T19:17:11.979+0000] {logging_mixin.py:154} INFO - Data fetched containing 1 rows
[2024-10-06T19:17:11.981+0000] {logging_mixin.py:154} INFO - Data fetched containing 2 rows
[2024-10-06T19:17:11.982+0000] {logging_mixin.py:154} INFO - Data fetched containing 3 rows
[2024-10-06T19:17:11.983+0000] {logging_mixin.py:154} INFO - Data fetched containing 4 rows
[2024-10-06T19:17:11.985+0000] {logging_mixin.py:154} INFO - Data fetched containing 5 rows
[2024-10-06T19:17:11.986+0000] {logging_mixin.py:154} INFO - Data fetched containing 6 rows
[2024-10-06T19:17:11.987+0000] {logging_mixin.py:154} INFO - Data fetched containing 7 rows
[2024-10-06T19:17:11.988+0000] {logging_mixin.py:154} INFO - Data fetched containing 8 rows
[2024-10-06T19:17:11.989+0000] {logging_mixin.py:154} INFO - Data fetched containing 9 rows
[2024-10-06T19:17:11.990+0000] {logging_mixin.py:154} INFO - Data fetched containing 10 rows
[2024-10-06T19:17:11.992+0000] {logging_mixin.py:154} INFO - Data fetched containing 11 rows
[2024-10-06T19:17:11.993+0000] {logging_mixin.py:154} INFO - Data fetched containing 12 rows
[2024-10-06T19:17:11.994+0000] {logging_mixin.py:154} INFO - Data fetched containing 13 rows
[2024-10-06T19:17:11.995+0000] {logging_mixin.py:154} INFO - Data fetched containing 14 rows
[2024-10-06T19:17:11.996+0000] {logging_mixin.py:154} INFO - Data fetched containing 15 rows
[2024-10-06T19:17:11.996+0000] {logging_mixin.py:154} INFO - Data fetched containing 16 rows
[2024-10-06T19:17:11.997+0000] {logging_mixin.py:154} INFO - Data fetched containing 17 rows
[2024-10-06T19:17:11.999+0000] {logging_mixin.py:154} INFO - Data fetched containing 18 rows
[2024-10-06T19:17:12.000+0000] {logging_mixin.py:154} INFO - Data fetched containing 19 rows
[2024-10-06T19:17:12.001+0000] {logging_mixin.py:154} INFO - Data fetched containing 20 rows
[2024-10-06T19:17:12.003+0000] {logging_mixin.py:154} INFO - Data fetched containing 21 rows
[2024-10-06T19:17:12.004+0000] {logging_mixin.py:154} INFO - Data fetched containing 22 rows
[2024-10-06T19:17:12.005+0000] {logging_mixin.py:154} INFO - Data fetched containing 23 rows
[2024-10-06T19:17:12.007+0000] {logging_mixin.py:154} INFO - Data fetched containing 24 rows
[2024-10-06T19:17:12.008+0000] {logging_mixin.py:154} INFO - Data fetched containing 25 rows
[2024-10-06T19:17:12.009+0000] {logging_mixin.py:154} INFO - Data fetched containing 26 rows
[2024-10-06T19:17:12.010+0000] {logging_mixin.py:154} INFO - Data fetched containing 27 rows
[2024-10-06T19:17:12.011+0000] {logging_mixin.py:154} INFO - Data fetched containing 28 rows
[2024-10-06T19:17:12.012+0000] {logging_mixin.py:154} INFO - Data fetched containing 29 rows
[2024-10-06T19:17:12.013+0000] {logging_mixin.py:154} INFO - Data fetched containing 30 rows
[2024-10-06T19:17:12.015+0000] {logging_mixin.py:154} INFO - Data fetched containing 31 rows
[2024-10-06T19:17:12.016+0000] {logging_mixin.py:154} INFO - Data fetched containing 32 rows
[2024-10-06T19:17:12.018+0000] {logging_mixin.py:154} INFO - Data fetched containing 33 rows
[2024-10-06T19:17:12.019+0000] {logging_mixin.py:154} INFO - Data fetched containing 34 rows
[2024-10-06T19:17:12.020+0000] {logging_mixin.py:154} INFO - Data fetched containing 35 rows
[2024-10-06T19:17:12.021+0000] {logging_mixin.py:154} INFO - Data fetched containing 36 rows
[2024-10-06T19:17:12.022+0000] {logging_mixin.py:154} INFO - Data fetched containing 37 rows
[2024-10-06T19:17:12.023+0000] {logging_mixin.py:154} INFO - Data fetched containing 38 rows
[2024-10-06T19:17:12.024+0000] {logging_mixin.py:154} INFO - Data fetched containing 39 rows
[2024-10-06T19:17:12.025+0000] {logging_mixin.py:154} INFO - Data fetched containing 40 rows
[2024-10-06T19:17:12.027+0000] {logging_mixin.py:154} INFO - Data fetched containing 41 rows
[2024-10-06T19:17:12.027+0000] {logging_mixin.py:154} INFO - Data fetched containing 42 rows
[2024-10-06T19:17:12.028+0000] {logging_mixin.py:154} INFO - Data fetched containing 43 rows
[2024-10-06T19:17:12.029+0000] {logging_mixin.py:154} INFO - Data fetched containing 44 rows
[2024-10-06T19:17:12.030+0000] {logging_mixin.py:154} INFO - Data fetched containing 45 rows
[2024-10-06T19:17:12.031+0000] {logging_mixin.py:154} INFO - Data fetched containing 46 rows
[2024-10-06T19:17:12.032+0000] {logging_mixin.py:154} INFO - Data fetched containing 47 rows
[2024-10-06T19:17:12.033+0000] {logging_mixin.py:154} INFO - Data fetched containing 48 rows
[2024-10-06T19:17:12.034+0000] {logging_mixin.py:154} INFO - Data fetched containing 49 rows
[2024-10-06T19:17:12.035+0000] {logging_mixin.py:154} INFO - Data fetched containing 50 rows
[2024-10-06T19:17:12.036+0000] {logging_mixin.py:154} INFO - Data fetched containing 51 rows
[2024-10-06T19:17:12.037+0000] {logging_mixin.py:154} INFO - Data fetched containing 52 rows
