[2024-10-06T19:20:41.213+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-02-02T00:00:00+00:00 [queued]>
[2024-10-06T19:20:41.225+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-02-02T00:00:00+00:00 [queued]>
[2024-10-06T19:20:41.226+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-10-06T19:20:41.243+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): fetch_flights_data> on 2024-02-02 00:00:00+00:00
[2024-10-06T19:20:41.248+0000] {standard_task_runner.py:57} INFO - Started process 247 to run task
[2024-10-06T19:20:41.254+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'flight_data_pipeline', 'fetch_flights_data', 'scheduled__2024-02-02T00:00:00+00:00', '--job-id', '71', '--raw', '--subdir', 'DAGS_FOLDER/flights_dag.py', '--cfg-path', '/tmp/tmpgd_78bo6']
[2024-10-06T19:20:41.257+0000] {standard_task_runner.py:85} INFO - Job 71: Subtask fetch_flights_data
[2024-10-06T19:20:41.318+0000] {logging_mixin.py:154} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-10-06T19:20:41.394+0000] {task_command.py:416} INFO - Running <TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-02-02T00:00:00+00:00 [running]> on host 04a4561ee4c8
[2024-10-06T19:20:41.539+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='flight_data_pipeline' AIRFLOW_CTX_TASK_ID='fetch_flights_data' AIRFLOW_CTX_EXECUTION_DATE='2024-02-02T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-02-02T00:00:00+00:00'
[2024-10-06T19:20:45.893+0000] {logging_mixin.py:154} INFO - Data fetched containing 1 rows
[2024-10-06T19:20:45.895+0000] {logging_mixin.py:154} INFO - Data fetched containing 2 rows
[2024-10-06T19:20:45.896+0000] {logging_mixin.py:154} INFO - Data fetched containing 3 rows
[2024-10-06T19:20:45.897+0000] {logging_mixin.py:154} INFO - Data fetched containing 4 rows
