[2024-10-06T19:20:09.871+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-01-31T00:00:00+00:00 [queued]>
[2024-10-06T19:20:09.885+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-01-31T00:00:00+00:00 [queued]>
[2024-10-06T19:20:09.886+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-10-06T19:20:09.903+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): fetch_flights_data> on 2024-01-31 00:00:00+00:00
[2024-10-06T19:20:09.909+0000] {standard_task_runner.py:57} INFO - Started process 170 to run task
[2024-10-06T19:20:09.914+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'flight_data_pipeline', 'fetch_flights_data', 'scheduled__2024-01-31T00:00:00+00:00', '--job-id', '66', '--raw', '--subdir', 'DAGS_FOLDER/flights_dag.py', '--cfg-path', '/tmp/tmp8rfy92ty']
[2024-10-06T19:20:09.916+0000] {standard_task_runner.py:85} INFO - Job 66: Subtask fetch_flights_data
[2024-10-06T19:20:09.941+0000] {logging_mixin.py:154} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-10-06T19:20:09.995+0000] {task_command.py:416} INFO - Running <TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-01-31T00:00:00+00:00 [running]> on host 04a4561ee4c8
[2024-10-06T19:20:10.107+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='flight_data_pipeline' AIRFLOW_CTX_TASK_ID='fetch_flights_data' AIRFLOW_CTX_EXECUTION_DATE='2024-01-31T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-01-31T00:00:00+00:00'
[2024-10-06T19:20:14.448+0000] {logging_mixin.py:154} INFO - Data fetched containing 1 rows
[2024-10-06T19:20:14.450+0000] {logging_mixin.py:154} INFO - Data fetched containing 2 rows
[2024-10-06T19:20:14.451+0000] {logging_mixin.py:154} INFO - Data fetched containing 3 rows
[2024-10-06T19:20:14.452+0000] {logging_mixin.py:154} INFO - Data fetched containing 4 rows
[2024-10-06T19:20:14.453+0000] {logging_mixin.py:154} INFO - Data fetched containing 5 rows
[2024-10-06T19:20:14.454+0000] {logging_mixin.py:154} INFO - Data fetched containing 6 rows
[2024-10-06T19:20:14.455+0000] {logging_mixin.py:154} INFO - Data fetched containing 7 rows
[2024-10-06T19:20:14.457+0000] {logging_mixin.py:154} INFO - Data fetched containing 8 rows
[2024-10-06T19:20:14.458+0000] {logging_mixin.py:154} INFO - Data fetched containing 9 rows
[2024-10-06T19:20:14.459+0000] {logging_mixin.py:154} INFO - Data fetched containing 10 rows
[2024-10-06T19:20:14.460+0000] {logging_mixin.py:154} INFO - Data fetched containing 11 rows
[2024-10-06T19:20:14.461+0000] {logging_mixin.py:154} INFO - Data fetched containing 12 rows
[2024-10-06T19:20:14.462+0000] {logging_mixin.py:154} INFO - Data fetched containing 13 rows
[2024-10-06T19:20:14.463+0000] {logging_mixin.py:154} INFO - Data fetched containing 14 rows
[2024-10-06T19:20:14.464+0000] {logging_mixin.py:154} INFO - Data fetched containing 15 rows
[2024-10-06T19:20:14.465+0000] {logging_mixin.py:154} INFO - Data fetched containing 16 rows
[2024-10-06T19:20:14.466+0000] {logging_mixin.py:154} INFO - Data fetched containing 17 rows
[2024-10-06T19:20:14.467+0000] {logging_mixin.py:154} INFO - Data fetched containing 18 rows
[2024-10-06T19:20:14.468+0000] {logging_mixin.py:154} INFO - Data fetched containing 19 rows
[2024-10-06T19:20:14.470+0000] {logging_mixin.py:154} INFO - Data fetched containing 20 rows
[2024-10-06T19:20:14.471+0000] {logging_mixin.py:154} INFO - Data fetched containing 21 rows
[2024-10-06T19:20:14.472+0000] {logging_mixin.py:154} INFO - Data fetched containing 22 rows
[2024-10-06T19:20:14.473+0000] {logging_mixin.py:154} INFO - Data fetched containing 23 rows
[2024-10-06T19:20:14.474+0000] {logging_mixin.py:154} INFO - Data fetched containing 24 rows
[2024-10-06T19:20:14.475+0000] {logging_mixin.py:154} INFO - Data fetched containing 25 rows
[2024-10-06T19:20:14.476+0000] {logging_mixin.py:154} INFO - Data fetched containing 26 rows
[2024-10-06T19:20:14.477+0000] {logging_mixin.py:154} INFO - Data fetched containing 27 rows
[2024-10-06T19:20:14.479+0000] {logging_mixin.py:154} INFO - Data fetched containing 28 rows
[2024-10-06T19:20:14.480+0000] {logging_mixin.py:154} INFO - Data fetched containing 29 rows
[2024-10-06T19:20:14.481+0000] {logging_mixin.py:154} INFO - Data fetched containing 30 rows
[2024-10-06T19:20:14.482+0000] {logging_mixin.py:154} INFO - Data fetched containing 31 rows
[2024-10-06T19:20:14.482+0000] {logging_mixin.py:154} INFO - Data fetched containing 32 rows
[2024-10-06T19:20:14.483+0000] {logging_mixin.py:154} INFO - Data fetched containing 33 rows
[2024-10-06T19:20:14.484+0000] {logging_mixin.py:154} INFO - Data fetched containing 34 rows
[2024-10-06T19:20:14.485+0000] {logging_mixin.py:154} INFO - Data fetched containing 35 rows
[2024-10-06T19:20:14.486+0000] {logging_mixin.py:154} INFO - Data fetched containing 36 rows
[2024-10-06T19:20:14.487+0000] {logging_mixin.py:154} INFO - Data fetched containing 37 rows
[2024-10-06T19:20:14.488+0000] {logging_mixin.py:154} INFO - Data fetched containing 38 rows
[2024-10-06T19:20:14.489+0000] {logging_mixin.py:154} INFO - Data fetched containing 39 rows
[2024-10-06T19:20:14.490+0000] {logging_mixin.py:154} INFO - Data fetched containing 40 rows
[2024-10-06T19:20:14.491+0000] {logging_mixin.py:154} INFO - Data fetched containing 41 rows
[2024-10-06T19:20:14.492+0000] {logging_mixin.py:154} INFO - Data fetched containing 42 rows
[2024-10-06T19:20:14.493+0000] {logging_mixin.py:154} INFO - Data fetched containing 43 rows
[2024-10-06T19:20:14.494+0000] {logging_mixin.py:154} INFO - Data fetched containing 44 rows
[2024-10-06T19:20:14.495+0000] {logging_mixin.py:154} INFO - Data fetched containing 45 rows
[2024-10-06T19:20:14.496+0000] {logging_mixin.py:154} INFO - Data fetched containing 46 rows
[2024-10-06T19:20:14.497+0000] {logging_mixin.py:154} INFO - Data fetched containing 47 rows
[2024-10-06T19:20:14.498+0000] {logging_mixin.py:154} INFO - Data fetched containing 48 rows
[2024-10-06T19:20:14.499+0000] {logging_mixin.py:154} INFO - Data fetched containing 49 rows
[2024-10-06T19:20:14.500+0000] {logging_mixin.py:154} INFO - Data fetched containing 50 rows
[2024-10-06T19:20:14.501+0000] {logging_mixin.py:154} INFO - Data fetched containing 51 rows
[2024-10-06T19:20:14.502+0000] {logging_mixin.py:154} INFO - Data fetched containing 52 rows
[2024-10-06T19:20:14.503+0000] {logging_mixin.py:154} INFO - Data fetched containing 53 rows
[2024-10-06T19:20:14.504+0000] {logging_mixin.py:154} INFO - Data fetched containing 54 rows
[2024-10-06T19:20:14.505+0000] {logging_mixin.py:154} INFO - Data fetched containing 55 rows
