[2024-10-06T19:15:29.031+0000] {logging_mixin.py:154} INFO - Data fetched containing 4 rows
[2024-10-06T19:15:29.033+0000] {logging_mixin.py:154} INFO - Data fetched containing 5 rows
[2024-10-06T19:15:29.034+0000] {logging_mixin.py:154} INFO - Data fetched containing 6 rows
[2024-10-06T19:15:29.035+0000] {logging_mixin.py:154} INFO - Data fetched containing 7 rows
[2024-10-06T19:15:29.036+0000] {logging_mixin.py:154} INFO - Data fetched containing 8 rows
[2024-10-06T19:15:29.037+0000] {logging_mixin.py:154} INFO - Data fetched containing 9 rows
[2024-10-06T19:15:29.038+0000] {logging_mixin.py:154} INFO - Data fetched containing 10 rows
[2024-10-06T19:15:29.039+0000] {logging_mixin.py:154} INFO - Data fetched containing 11 rows
[2024-10-06T19:15:29.040+0000] {logging_mixin.py:154} INFO - Data fetched containing 12 rows
[2024-10-06T19:15:29.041+0000] {logging_mixin.py:154} INFO - Data fetched containing 13 rows
[2024-10-06T19:15:29.042+0000] {logging_mixin.py:154} INFO - Data fetched containing 14 rows
[2024-10-06T19:15:29.043+0000] {logging_mixin.py:154} INFO - Data fetched containing 15 rows
[2024-10-06T19:15:29.044+0000] {logging_mixin.py:154} INFO - Data fetched containing 16 rows
[2024-10-06T19:15:29.045+0000] {logging_mixin.py:154} INFO - Data fetched containing 17 rows
[2024-10-06T19:15:29.046+0000] {logging_mixin.py:154} INFO - Data fetched containing 18 rows
[2024-10-06T19:15:29.048+0000] {logging_mixin.py:154} INFO - Data fetched containing 19 rows
[2024-10-06T19:15:29.049+0000] {logging_mixin.py:154} INFO - Data fetched containing 20 rows
[2024-10-06T19:15:29.050+0000] {logging_mixin.py:154} INFO - Data fetched containing 21 rows
[2024-10-06T19:15:29.050+0000] {logging_mixin.py:154} INFO - Data fetched containing 22 rows
[2024-10-06T19:15:29.051+0000] {logging_mixin.py:154} INFO - Data fetched containing 23 rows
[2024-10-06T19:15:29.053+0000] {logging_mixin.py:154} INFO - Data fetched containing 24 rows
[2024-10-06T19:15:29.054+0000] {logging_mixin.py:154} INFO - Data fetched containing 25 rows
[2024-10-06T19:15:29.055+0000] {logging_mixin.py:154} INFO - Data fetched containing 26 rows
[2024-10-06T19:15:29.056+0000] {logging_mixin.py:154} INFO - Data fetched containing 27 rows
[2024-10-06T19:15:29.057+0000] {logging_mixin.py:154} INFO - Data fetched containing 28 rows
[2024-10-06T19:15:29.058+0000] {logging_mixin.py:154} INFO - Data fetched containing 29 rows
[2024-10-06T19:15:29.059+0000] {logging_mixin.py:154} INFO - Data fetched containing 30 rows
[2024-10-06T19:15:29.110+0000] {logging_mixin.py:154} INFO - Data fetched containing 31 rows
[2024-10-06T19:15:29.112+0000] {logging_mixin.py:154} INFO - Data fetched containing 32 rows
[2024-10-06T19:15:29.113+0000] {logging_mixin.py:154} INFO - Data fetched containing 33 rows
[2024-10-06T19:15:29.115+0000] {logging_mixin.py:154} INFO - Data fetched containing 34 rows
[2024-10-06T19:15:29.124+0000] {logging_mixin.py:154} INFO - Data fetched containing 35 rows
[2024-10-06T19:15:29.125+0000] {logging_mixin.py:154} INFO - Data fetched containing 36 rows
[2024-10-06T19:15:29.126+0000] {logging_mixin.py:154} INFO - Data fetched containing 37 rows
[2024-10-06T19:15:29.127+0000] {logging_mixin.py:154} INFO - Data fetched containing 38 rows
[2024-10-06T19:15:29.128+0000] {logging_mixin.py:154} INFO - Data fetched containing 39 rows
[2024-10-06T19:15:29.130+0000] {logging_mixin.py:154} INFO - Data fetched containing 40 rows
[2024-10-06T19:15:29.131+0000] {logging_mixin.py:154} INFO - Data fetched containing 41 rows
[2024-10-06T19:15:29.132+0000] {logging_mixin.py:154} INFO - Data fetched containing 42 rows
[2024-10-06T19:15:29.133+0000] {logging_mixin.py:154} INFO - Data fetched containing 43 rows
[2024-10-06T19:15:29.134+0000] {logging_mixin.py:154} INFO - Data fetched containing 44 rows
[2024-10-06T19:15:29.135+0000] {logging_mixin.py:154} INFO - Data fetched containing 45 rows
[2024-10-06T19:15:29.136+0000] {logging_mixin.py:154} INFO - Data fetched containing 46 rows
[2024-10-06T19:15:29.138+0000] {logging_mixin.py:154} INFO - Data fetched containing 47 rows
[2024-10-06T19:15:29.138+0000] {logging_mixin.py:154} INFO - Data fetched containing 48 rows
[2024-10-06T19:15:29.139+0000] {logging_mixin.py:154} INFO - Data fetched containing 49 rows
[2024-10-06T19:15:29.140+0000] {logging_mixin.py:154} INFO - Data fetched containing 50 rows
[2024-10-06T19:15:29.142+0000] {logging_mixin.py:154} INFO - Data fetched containing 51 rows
[2024-10-06T19:15:29.143+0000] {logging_mixin.py:154} INFO - Data fetched containing 52 rows
[2024-10-06T19:15:29.144+0000] {logging_mixin.py:154} INFO - Data fetched containing 53 rows
[2024-10-06T19:15:29.145+0000] {logging_mixin.py:154} INFO - Data fetched containing 54 rows
[2024-10-06T19:15:29.146+0000] {logging_mixin.py:154} INFO - Data fetched containing 55 rows
[2024-10-06T19:15:29.147+0000] {logging_mixin.py:154} INFO - Data fetched containing 56 rows
[2024-10-06T19:15:29.148+0000] {logging_mixin.py:154} INFO - Data fetched containing 57 rows
[2024-10-06T19:15:29.149+0000] {logging_mixin.py:154} INFO - Data fetched containing 58 rows
[2024-10-06T19:15:29.150+0000] {logging_mixin.py:154} INFO - Data fetched containing 59 rows
[2024-10-06T19:15:29.151+0000] {logging_mixin.py:154} INFO - Data fetched containing 60 rows
[2024-10-06T19:15:29.153+0000] {logging_mixin.py:154} INFO - Data fetched containing 61 rows
[2024-10-06T19:15:29.154+0000] {logging_mixin.py:154} INFO - Data fetched containing 62 rows
[2024-10-06T19:15:29.155+0000] {logging_mixin.py:154} INFO - Data fetched containing 63 rows
[2024-10-06T19:15:29.156+0000] {logging_mixin.py:154} INFO - Data fetched containing 64 rows
[2024-10-06T19:15:29.157+0000] {logging_mixin.py:154} INFO - Data fetched containing 65 rows
[2024-10-06T19:15:29.158+0000] {logging_mixin.py:154} INFO - Data fetched containing 66 rows
[2024-10-06T19:15:29.159+0000] {logging_mixin.py:154} INFO - Data fetched containing 67 rows
[2024-10-06T19:15:29.160+0000] {logging_mixin.py:154} INFO - Data fetched containing 68 rows
[2024-10-06T19:15:29.161+0000] {logging_mixin.py:154} INFO - Data fetched containing 69 rows
[2024-10-06T19:15:29.162+0000] {logging_mixin.py:154} INFO - Data fetched containing 70 rows
[2024-10-06T19:15:29.163+0000] {logging_mixin.py:154} INFO - Data fetched containing 71 rows
[2024-10-06T19:15:29.165+0000] {logging_mixin.py:154} INFO - Data fetched containing 72 rows
[2024-10-06T19:15:29.166+0000] {logging_mixin.py:154} INFO - Data fetched containing 73 rows
[2024-10-06T19:15:29.167+0000] {logging_mixin.py:154} INFO - Data fetched containing 74 rows
[2024-10-06T19:15:29.168+0000] {logging_mixin.py:154} INFO - Data fetched containing 75 rows
