[2024-10-06T19:20:23.171+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-02-01T00:00:00+00:00 [queued]>
[2024-10-06T19:20:23.182+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-02-01T00:00:00+00:00 [queued]>
[2024-10-06T19:20:23.183+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-10-06T19:20:23.197+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): fetch_flights_data> on 2024-02-01 00:00:00+00:00
[2024-10-06T19:20:23.202+0000] {standard_task_runner.py:57} INFO - Started process 202 to run task
[2024-10-06T19:20:23.207+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'flight_data_pipeline', 'fetch_flights_data', 'scheduled__2024-02-01T00:00:00+00:00', '--job-id', '68', '--raw', '--subdir', 'DAGS_FOLDER/flights_dag.py', '--cfg-path', '/tmp/tmpdbnol7hb']
[2024-10-06T19:20:23.209+0000] {standard_task_runner.py:85} INFO - Job 68: Subtask fetch_flights_data
[2024-10-06T19:20:23.228+0000] {logging_mixin.py:154} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-10-06T19:20:23.268+0000] {task_command.py:416} INFO - Running <TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-02-01T00:00:00+00:00 [running]> on host 04a4561ee4c8
[2024-10-06T19:20:23.350+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='flight_data_pipeline' AIRFLOW_CTX_TASK_ID='fetch_flights_data' AIRFLOW_CTX_EXECUTION_DATE='2024-02-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-02-01T00:00:00+00:00'
[2024-10-06T19:20:27.282+0000] {logging_mixin.py:154} INFO - Data fetched containing 1 rows
[2024-10-06T19:20:27.284+0000] {logging_mixin.py:154} INFO - Data fetched containing 2 rows
[2024-10-06T19:20:27.287+0000] {logging_mixin.py:154} INFO - Data fetched containing 3 rows
[2024-10-06T19:20:27.291+0000] {logging_mixin.py:154} INFO - Data fetched containing 4 rows
[2024-10-06T19:20:27.293+0000] {logging_mixin.py:154} INFO - Data fetched containing 5 rows
[2024-10-06T19:20:27.294+0000] {logging_mixin.py:154} INFO - Data fetched containing 6 rows
[2024-10-06T19:20:27.296+0000] {logging_mixin.py:154} INFO - Data fetched containing 7 rows
[2024-10-06T19:20:27.297+0000] {logging_mixin.py:154} INFO - Data fetched containing 8 rows
[2024-10-06T19:20:27.299+0000] {logging_mixin.py:154} INFO - Data fetched containing 9 rows
[2024-10-06T19:20:27.301+0000] {logging_mixin.py:154} INFO - Data fetched containing 10 rows
[2024-10-06T19:20:27.303+0000] {logging_mixin.py:154} INFO - Data fetched containing 11 rows
[2024-10-06T19:20:27.306+0000] {logging_mixin.py:154} INFO - Data fetched containing 12 rows
[2024-10-06T19:20:27.308+0000] {logging_mixin.py:154} INFO - Data fetched containing 13 rows
[2024-10-06T19:20:27.310+0000] {logging_mixin.py:154} INFO - Data fetched containing 14 rows
[2024-10-06T19:20:27.311+0000] {logging_mixin.py:154} INFO - Data fetched containing 15 rows
[2024-10-06T19:20:27.313+0000] {logging_mixin.py:154} INFO - Data fetched containing 16 rows
[2024-10-06T19:20:27.316+0000] {logging_mixin.py:154} INFO - Data fetched containing 17 rows
[2024-10-06T19:20:27.320+0000] {logging_mixin.py:154} INFO - Data fetched containing 18 rows
[2024-10-06T19:20:27.325+0000] {logging_mixin.py:154} INFO - Data fetched containing 19 rows
[2024-10-06T19:20:27.328+0000] {logging_mixin.py:154} INFO - Data fetched containing 20 rows
[2024-10-06T19:20:27.331+0000] {logging_mixin.py:154} INFO - Data fetched containing 21 rows
[2024-10-06T19:20:27.333+0000] {logging_mixin.py:154} INFO - Data fetched containing 22 rows
[2024-10-06T19:20:27.335+0000] {logging_mixin.py:154} INFO - Data fetched containing 23 rows
[2024-10-06T19:20:27.339+0000] {logging_mixin.py:154} INFO - Data fetched containing 24 rows
[2024-10-06T19:20:27.341+0000] {logging_mixin.py:154} INFO - Data fetched containing 25 rows
[2024-10-06T19:20:27.342+0000] {logging_mixin.py:154} INFO - Data fetched containing 26 rows
