[2024-10-06T20:52:04.980+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flight_data_pipeline.upload_to_db scheduled__2024-10-05T00:00:00+00:00 [queued]>
[2024-10-06T20:52:04.990+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flight_data_pipeline.upload_to_db scheduled__2024-10-05T00:00:00+00:00 [queued]>
[2024-10-06T20:52:04.991+0000] {taskinstance.py:1361} INFO - Starting attempt 14 of 14
[2024-10-06T20:52:05.007+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): upload_to_db> on 2024-10-05 00:00:00+00:00
[2024-10-06T20:52:05.013+0000] {standard_task_runner.py:57} INFO - Started process 65 to run task
[2024-10-06T20:52:05.017+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'flight_data_pipeline', 'upload_to_db', 'scheduled__2024-10-05T00:00:00+00:00', '--job-id', '133', '--raw', '--subdir', 'DAGS_FOLDER/flights_dag.py', '--cfg-path', '/tmp/tmpjn17h6h9']
[2024-10-06T20:52:05.020+0000] {standard_task_runner.py:85} INFO - Job 133: Subtask upload_to_db
[2024-10-06T20:52:05.263+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Gold Coast (coolangatta)', 'Australia/Brisbane', 'Queenstown', 'Pacific/Auckland', None, 'Jetstar', '193')
[2024-10-06T20:52:05.264+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', 'Maroochydore', 'Australia/Brisbane', 'D', 'Jetstar', '792')
[2024-10-06T20:52:05.264+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Mactan-Cebu International', 'Asia/Manila', 'Singapore Changi', 'Asia/Singapore', '1', 'Singapore Airlines', '8441')
[2024-10-06T20:52:05.265+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Xianyang', 'Asia/Shanghai', 'Tan Son Nhat International', 'Asia/Ho_Chi_Minh', 'T1', None, '4360')
[2024-10-06T20:52:05.265+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Xianyang', 'Asia/Shanghai', 'Jeju Airport', 'Asia/Seoul', 'I', 'Korean Air', '5060')
[2024-10-06T20:52:05.266+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Hobart', 'Australia/Hobart', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', '3', 'Singapore Airlines', '6579')
[2024-10-06T20:52:05.266+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Hobart', 'Australia/Hobart', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', '3', 'Qatar Airways', '8515')
[2024-10-06T20:52:05.266+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Hobart', 'Australia/Hobart', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', '3', 'Etihad Airways', '6619')
[2024-10-06T20:52:05.267+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Cairns', 'Australia/Brisbane', 'Brisbane International', 'Australia/Brisbane', 'D', 'QantasLink', '1899')
[2024-10-06T20:52:05.267+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Williamtown', 'Australia/Sydney', 'Brisbane International', 'Australia/Brisbane', 'D', 'QantasLink', '1962')
