[2024-10-06T19:13:02.441+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_and_transform_data scheduled__2024-01-03T00:00:00+00:00 [queued]>
[2024-10-06T19:13:02.452+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_and_transform_data scheduled__2024-01-03T00:00:00+00:00 [queued]>
[2024-10-06T19:13:02.453+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-10-06T19:13:02.469+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): fetch_and_transform_data> on 2024-01-03 00:00:00+00:00
[2024-10-06T19:13:02.474+0000] {standard_task_runner.py:57} INFO - Started process 131 to run task
[2024-10-06T19:13:02.478+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'flight_data_pipeline', 'fetch_and_transform_data', 'scheduled__2024-01-03T00:00:00+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/flights_dag.py', '--cfg-path', '/tmp/tmpszivol69']
[2024-10-06T19:13:02.480+0000] {standard_task_runner.py:85} INFO - Job 8: Subtask fetch_and_transform_data
[2024-10-06T19:13:02.501+0000] {logging_mixin.py:154} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-10-06T19:13:02.557+0000] {task_command.py:416} INFO - Running <TaskInstance: flight_data_pipeline.fetch_and_transform_data scheduled__2024-01-03T00:00:00+00:00 [running]> on host ea71d0098a44
[2024-10-06T19:13:02.648+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='flight_data_pipeline' AIRFLOW_CTX_TASK_ID='fetch_and_transform_data' AIRFLOW_CTX_EXECUTION_DATE='2024-01-03T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-01-03T00:00:00+00:00'
[2024-10-06T19:13:07.805+0000] {logging_mixin.py:154} INFO - Data fetched containing 1 rows
[2024-10-06T19:13:07.806+0000] {logging_mixin.py:154} INFO - Data fetched containing 2 rows
[2024-10-06T19:13:07.807+0000] {logging_mixin.py:154} INFO - Data fetched containing 3 rows
[2024-10-06T19:13:07.809+0000] {logging_mixin.py:154} INFO - Data fetched containing 4 rows
[2024-10-06T19:13:07.810+0000] {logging_mixin.py:154} INFO - Data fetched containing 5 rows
[2024-10-06T19:13:07.811+0000] {logging_mixin.py:154} INFO - Data fetched containing 6 rows
[2024-10-06T19:13:07.812+0000] {logging_mixin.py:154} INFO - Data fetched containing 7 rows
[2024-10-06T19:13:07.813+0000] {logging_mixin.py:154} INFO - Data fetched containing 8 rows
[2024-10-06T19:13:07.814+0000] {logging_mixin.py:154} INFO - Data fetched containing 9 rows
[2024-10-06T19:13:07.815+0000] {logging_mixin.py:154} INFO - Data fetched containing 10 rows
[2024-10-06T19:13:07.816+0000] {logging_mixin.py:154} INFO - Data fetched containing 11 rows
[2024-10-06T19:13:07.817+0000] {logging_mixin.py:154} INFO - Data fetched containing 12 rows
[2024-10-06T19:13:07.818+0000] {logging_mixin.py:154} INFO - Data fetched containing 13 rows
[2024-10-06T19:13:07.819+0000] {logging_mixin.py:154} INFO - Data fetched containing 14 rows
[2024-10-06T19:13:07.820+0000] {logging_mixin.py:154} INFO - Data fetched containing 15 rows
[2024-10-06T19:13:07.822+0000] {logging_mixin.py:154} INFO - Data fetched containing 16 rows
[2024-10-06T19:13:07.823+0000] {logging_mixin.py:154} INFO - Data fetched containing 17 rows
[2024-10-06T19:13:07.824+0000] {logging_mixin.py:154} INFO - Data fetched containing 18 rows
[2024-10-06T19:13:07.825+0000] {logging_mixin.py:154} INFO - Data fetched containing 19 rows
[2024-10-06T19:13:07.826+0000] {logging_mixin.py:154} INFO - Data fetched containing 20 rows
[2024-10-06T19:13:07.827+0000] {logging_mixin.py:154} INFO - Data fetched containing 21 rows
[2024-10-06T19:13:07.828+0000] {logging_mixin.py:154} INFO - Data fetched containing 22 rows
[2024-10-06T19:13:07.829+0000] {logging_mixin.py:154} INFO - Data fetched containing 23 rows
[2024-10-06T19:13:07.830+0000] {logging_mixin.py:154} INFO - Data fetched containing 24 rows
[2024-10-06T19:13:07.831+0000] {logging_mixin.py:154} INFO - Data fetched containing 25 rows
[2024-10-06T19:13:07.832+0000] {logging_mixin.py:154} INFO - Data fetched containing 26 rows
[2024-10-06T19:13:07.833+0000] {logging_mixin.py:154} INFO - Data fetched containing 27 rows
[2024-10-06T19:13:07.834+0000] {logging_mixin.py:154} INFO - Data fetched containing 28 rows
[2024-10-06T19:13:07.835+0000] {logging_mixin.py:154} INFO - Data fetched containing 29 rows
[2024-10-06T19:13:07.836+0000] {logging_mixin.py:154} INFO - Data fetched containing 30 rows
[2024-10-06T19:13:07.837+0000] {logging_mixin.py:154} INFO - Data fetched containing 31 rows
[2024-10-06T19:13:07.838+0000] {logging_mixin.py:154} INFO - Data fetched containing 32 rows
[2024-10-06T19:13:07.839+0000] {logging_mixin.py:154} INFO - Data fetched containing 33 rows
[2024-10-06T19:13:07.840+0000] {logging_mixin.py:154} INFO - Data fetched containing 34 rows
[2024-10-06T19:13:07.841+0000] {logging_mixin.py:154} INFO - Data fetched containing 35 rows
[2024-10-06T19:13:07.842+0000] {logging_mixin.py:154} INFO - Data fetched containing 36 rows
[2024-10-06T19:13:07.843+0000] {logging_mixin.py:154} INFO - Data fetched containing 37 rows
[2024-10-06T19:13:07.844+0000] {logging_mixin.py:154} INFO - Data fetched containing 38 rows
[2024-10-06T19:13:07.845+0000] {logging_mixin.py:154} INFO - Data fetched containing 39 rows
[2024-10-06T19:13:07.846+0000] {logging_mixin.py:154} INFO - Data fetched containing 40 rows
[2024-10-06T19:13:07.847+0000] {logging_mixin.py:154} INFO - Data fetched containing 41 rows
[2024-10-06T19:13:07.848+0000] {logging_mixin.py:154} INFO - Data fetched containing 42 rows
[2024-10-06T19:13:07.849+0000] {logging_mixin.py:154} INFO - Data fetched containing 43 rows
[2024-10-06T19:13:07.850+0000] {logging_mixin.py:154} INFO - Data fetched containing 44 rows
[2024-10-06T19:13:07.851+0000] {logging_mixin.py:154} INFO - Data fetched containing 45 rows
[2024-10-06T19:13:07.852+0000] {logging_mixin.py:154} INFO - Data fetched containing 46 rows
[2024-10-06T19:13:07.853+0000] {logging_mixin.py:154} INFO - Data fetched containing 47 rows
[2024-10-06T19:13:07.854+0000] {logging_mixin.py:154} INFO - Data fetched containing 48 rows
[2024-10-06T19:13:07.855+0000] {logging_mixin.py:154} INFO - Data fetched containing 49 rows
[2024-10-06T19:13:07.855+0000] {logging_mixin.py:154} INFO - Data fetched containing 50 rows
[2024-10-06T19:13:07.856+0000] {logging_mixin.py:154} INFO - Data fetched containing 51 rows
[2024-10-06T19:13:07.857+0000] {logging_mixin.py:154} INFO - Data fetched containing 52 rows
[2024-10-06T19:13:07.858+0000] {logging_mixin.py:154} INFO - Data fetched containing 53 rows
[2024-10-06T19:13:07.859+0000] {logging_mixin.py:154} INFO - Data fetched containing 54 rows
[2024-10-06T19:13:07.860+0000] {logging_mixin.py:154} INFO - Data fetched containing 55 rows
[2024-10-06T19:13:07.861+0000] {logging_mixin.py:154} INFO - Data fetched containing 56 rows
[2024-10-06T19:13:07.862+0000] {logging_mixin.py:154} INFO - Data fetched containing 57 rows
[2024-10-06T19:13:07.863+0000] {logging_mixin.py:154} INFO - Data fetched containing 58 rows
[2024-10-06T19:13:07.864+0000] {logging_mixin.py:154} INFO - Data fetched containing 59 rows
[2024-10-06T19:13:07.865+0000] {logging_mixin.py:154} INFO - Data fetched containing 60 rows
[2024-10-06T19:13:07.866+0000] {logging_mixin.py:154} INFO - Data fetched containing 61 rows
[2024-10-06T19:13:07.867+0000] {logging_mixin.py:154} INFO - Data fetched containing 62 rows
[2024-10-06T19:13:07.868+0000] {logging_mixin.py:154} INFO - Data fetched containing 63 rows
[2024-10-06T19:13:07.869+0000] {logging_mixin.py:154} INFO - Data fetched containing 64 rows
[2024-10-06T19:13:07.870+0000] {logging_mixin.py:154} INFO - Data fetched containing 65 rows
[2024-10-06T19:13:07.870+0000] {logging_mixin.py:154} INFO - Data fetched containing 66 rows
[2024-10-06T19:13:07.871+0000] {logging_mixin.py:154} INFO - Data fetched containing 67 rows
[2024-10-06T19:13:07.872+0000] {logging_mixin.py:154} INFO - Data fetched containing 68 rows
[2024-10-06T19:13:07.873+0000] {logging_mixin.py:154} INFO - Data fetched containing 69 rows
[2024-10-06T19:13:07.874+0000] {logging_mixin.py:154} INFO - Data fetched containing 70 rows
[2024-10-06T19:13:07.875+0000] {logging_mixin.py:154} INFO - Data fetched containing 71 rows
[2024-10-06T19:13:07.875+0000] {logging_mixin.py:154} INFO - Data fetched containing 72 rows
[2024-10-06T19:13:07.876+0000] {logging_mixin.py:154} INFO - Data fetched containing 73 rows
[2024-10-06T19:13:07.877+0000] {logging_mixin.py:154} INFO - Data fetched containing 74 rows
[2024-10-06T19:13:07.878+0000] {logging_mixin.py:154} INFO - Data fetched containing 75 rows
[2024-10-06T19:13:07.878+0000] {logging_mixin.py:154} INFO - Data fetched containing 76 rows
[2024-10-06T19:13:07.879+0000] {logging_mixin.py:154} INFO - Data fetched containing 77 rows
[2024-10-06T19:13:07.880+0000] {logging_mixin.py:154} INFO - Data fetched containing 78 rows
[2024-10-06T19:13:07.881+0000] {logging_mixin.py:154} INFO - Data fetched containing 79 rows
[2024-10-06T19:13:07.881+0000] {logging_mixin.py:154} INFO - Data fetched containing 80 rows
[2024-10-06T19:13:07.882+0000] {logging_mixin.py:154} INFO - Data fetched containing 81 rows
[2024-10-06T19:13:07.883+0000] {logging_mixin.py:154} INFO - Data fetched containing 82 rows
[2024-10-06T19:13:07.884+0000] {logging_mixin.py:154} INFO - Data fetched containing 83 rows
[2024-10-06T19:13:07.884+0000] {logging_mixin.py:154} INFO - Data fetched containing 84 rows
[2024-10-06T19:13:07.885+0000] {logging_mixin.py:154} INFO - Data fetched containing 85 rows
[2024-10-06T19:13:07.886+0000] {logging_mixin.py:154} INFO - Data fetched containing 86 rows
[2024-10-06T19:13:07.887+0000] {logging_mixin.py:154} INFO - Data fetched containing 87 rows
[2024-10-06T19:13:07.888+0000] {logging_mixin.py:154} INFO - Data fetched containing 88 rows
[2024-10-06T19:13:07.888+0000] {logging_mixin.py:154} INFO - Data fetched containing 89 rows
[2024-10-06T19:13:07.889+0000] {logging_mixin.py:154} INFO - Data fetched containing 90 rows
[2024-10-06T19:13:07.890+0000] {logging_mixin.py:154} INFO - Data fetched containing 91 rows
[2024-10-06T19:13:07.891+0000] {logging_mixin.py:154} INFO - Data fetched containing 92 rows
[2024-10-06T19:13:07.891+0000] {logging_mixin.py:154} INFO - Data fetched containing 93 rows
[2024-10-06T19:13:07.892+0000] {logging_mixin.py:154} INFO - Data fetched containing 94 rows
[2024-10-06T19:13:07.893+0000] {logging_mixin.py:154} INFO - Data fetched containing 95 rows
[2024-10-06T19:13:07.894+0000] {logging_mixin.py:154} INFO - Data fetched containing 96 rows
[2024-10-06T19:13:07.895+0000] {logging_mixin.py:154} INFO - Data fetched containing 97 rows
[2024-10-06T19:13:07.895+0000] {logging_mixin.py:154} INFO - Data fetched containing 98 rows
[2024-10-06T19:13:07.896+0000] {logging_mixin.py:154} INFO - Data fetched containing 99 rows
[2024-10-06T19:13:07.897+0000] {logging_mixin.py:154} INFO - Data fetched containing 100 rows
