[2024-10-06T19:17:25.826+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-01-22T00:00:00+00:00 [queued]>
[2024-10-06T19:17:25.835+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-01-22T00:00:00+00:00 [queued]>
[2024-10-06T19:17:25.836+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-10-06T19:17:25.849+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): fetch_flights_data> on 2024-01-22 00:00:00+00:00
[2024-10-06T19:17:25.855+0000] {standard_task_runner.py:57} INFO - Started process 723 to run task
[2024-10-06T19:17:25.858+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'flight_data_pipeline', 'fetch_flights_data', 'scheduled__2024-01-22T00:00:00+00:00', '--job-id', '46', '--raw', '--subdir', 'DAGS_FOLDER/flights_dag.py', '--cfg-path', '/tmp/tmpj8lcmpt5']
[2024-10-06T19:17:25.861+0000] {standard_task_runner.py:85} INFO - Job 46: Subtask fetch_flights_data
[2024-10-06T19:17:25.883+0000] {logging_mixin.py:154} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-10-06T19:17:25.929+0000] {task_command.py:416} INFO - Running <TaskInstance: flight_data_pipeline.fetch_flights_data scheduled__2024-01-22T00:00:00+00:00 [running]> on host ea71d0098a44
[2024-10-06T19:17:26.016+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='flight_data_pipeline' AIRFLOW_CTX_TASK_ID='fetch_flights_data' AIRFLOW_CTX_EXECUTION_DATE='2024-01-22T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-01-22T00:00:00+00:00'
[2024-10-06T19:17:31.155+0000] {logging_mixin.py:154} INFO - Data fetched containing 1 rows
[2024-10-06T19:17:31.156+0000] {logging_mixin.py:154} INFO - Data fetched containing 2 rows
[2024-10-06T19:17:31.157+0000] {logging_mixin.py:154} INFO - Data fetched containing 3 rows
[2024-10-06T19:17:31.158+0000] {logging_mixin.py:154} INFO - Data fetched containing 4 rows
[2024-10-06T19:17:31.159+0000] {logging_mixin.py:154} INFO - Data fetched containing 5 rows
[2024-10-06T19:17:31.160+0000] {logging_mixin.py:154} INFO - Data fetched containing 6 rows
[2024-10-06T19:17:31.161+0000] {logging_mixin.py:154} INFO - Data fetched containing 7 rows
[2024-10-06T19:17:31.162+0000] {logging_mixin.py:154} INFO - Data fetched containing 8 rows
[2024-10-06T19:17:31.163+0000] {logging_mixin.py:154} INFO - Data fetched containing 9 rows
[2024-10-06T19:17:31.164+0000] {logging_mixin.py:154} INFO - Data fetched containing 10 rows
[2024-10-06T19:17:31.165+0000] {logging_mixin.py:154} INFO - Data fetched containing 11 rows
[2024-10-06T19:17:31.167+0000] {logging_mixin.py:154} INFO - Data fetched containing 12 rows
[2024-10-06T19:17:31.168+0000] {logging_mixin.py:154} INFO - Data fetched containing 13 rows
[2024-10-06T19:17:31.169+0000] {logging_mixin.py:154} INFO - Data fetched containing 14 rows
[2024-10-06T19:17:31.170+0000] {logging_mixin.py:154} INFO - Data fetched containing 15 rows
[2024-10-06T19:17:31.171+0000] {logging_mixin.py:154} INFO - Data fetched containing 16 rows
[2024-10-06T19:17:31.172+0000] {logging_mixin.py:154} INFO - Data fetched containing 17 rows
[2024-10-06T19:17:31.173+0000] {logging_mixin.py:154} INFO - Data fetched containing 18 rows
[2024-10-06T19:17:31.174+0000] {logging_mixin.py:154} INFO - Data fetched containing 19 rows
[2024-10-06T19:17:31.175+0000] {logging_mixin.py:154} INFO - Data fetched containing 20 rows
[2024-10-06T19:17:31.176+0000] {logging_mixin.py:154} INFO - Data fetched containing 21 rows
[2024-10-06T19:17:31.177+0000] {logging_mixin.py:154} INFO - Data fetched containing 22 rows
[2024-10-06T19:17:31.178+0000] {logging_mixin.py:154} INFO - Data fetched containing 23 rows
[2024-10-06T19:17:31.180+0000] {logging_mixin.py:154} INFO - Data fetched containing 24 rows
[2024-10-06T19:17:31.181+0000] {logging_mixin.py:154} INFO - Data fetched containing 25 rows
[2024-10-06T19:17:31.181+0000] {logging_mixin.py:154} INFO - Data fetched containing 26 rows
[2024-10-06T19:17:31.182+0000] {logging_mixin.py:154} INFO - Data fetched containing 27 rows
[2024-10-06T19:17:31.183+0000] {logging_mixin.py:154} INFO - Data fetched containing 28 rows
[2024-10-06T19:17:31.184+0000] {logging_mixin.py:154} INFO - Data fetched containing 29 rows
[2024-10-06T19:17:31.185+0000] {logging_mixin.py:154} INFO - Data fetched containing 30 rows
[2024-10-06T19:17:31.186+0000] {logging_mixin.py:154} INFO - Data fetched containing 31 rows
[2024-10-06T19:17:31.188+0000] {logging_mixin.py:154} INFO - Data fetched containing 32 rows
[2024-10-06T19:17:31.193+0000] {logging_mixin.py:154} INFO - Data fetched containing 33 rows
[2024-10-06T19:17:31.195+0000] {logging_mixin.py:154} INFO - Data fetched containing 34 rows
[2024-10-06T19:17:31.197+0000] {logging_mixin.py:154} INFO - Data fetched containing 35 rows
[2024-10-06T19:17:31.198+0000] {logging_mixin.py:154} INFO - Data fetched containing 36 rows
[2024-10-06T19:17:31.199+0000] {logging_mixin.py:154} INFO - Data fetched containing 37 rows
[2024-10-06T19:17:31.200+0000] {logging_mixin.py:154} INFO - Data fetched containing 38 rows
[2024-10-06T19:17:31.201+0000] {logging_mixin.py:154} INFO - Data fetched containing 39 rows
[2024-10-06T19:17:31.202+0000] {logging_mixin.py:154} INFO - Data fetched containing 40 rows
[2024-10-06T19:17:31.203+0000] {logging_mixin.py:154} INFO - Data fetched containing 41 rows
[2024-10-06T19:17:31.204+0000] {logging_mixin.py:154} INFO - Data fetched containing 42 rows
[2024-10-06T19:17:31.205+0000] {logging_mixin.py:154} INFO - Data fetched containing 43 rows
[2024-10-06T19:17:31.206+0000] {logging_mixin.py:154} INFO - Data fetched containing 44 rows
[2024-10-06T19:17:31.207+0000] {logging_mixin.py:154} INFO - Data fetched containing 45 rows
[2024-10-06T19:17:31.208+0000] {logging_mixin.py:154} INFO - Data fetched containing 46 rows
[2024-10-06T19:17:31.209+0000] {logging_mixin.py:154} INFO - Data fetched containing 47 rows
[2024-10-06T19:17:31.210+0000] {logging_mixin.py:154} INFO - Data fetched containing 48 rows
[2024-10-06T19:17:31.211+0000] {logging_mixin.py:154} INFO - Data fetched containing 49 rows
