[2024-10-06T19:15:47.054+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_and_transform_data scheduled__2024-01-15T00:00:00+00:00 [queued]>
[2024-10-06T19:15:47.064+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_and_transform_data scheduled__2024-01-15T00:00:00+00:00 [queued]>
[2024-10-06T19:15:47.064+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-10-06T19:15:52.448+0000] {logging_mixin.py:154} INFO - Data fetched containing 6 rows
[2024-10-06T19:15:52.450+0000] {logging_mixin.py:154} INFO - Data fetched containing 7 rows
[2024-10-06T19:15:52.451+0000] {logging_mixin.py:154} INFO - Data fetched containing 8 rows
[2024-10-06T19:15:52.453+0000] {logging_mixin.py:154} INFO - Data fetched containing 9 rows
[2024-10-06T19:15:52.454+0000] {logging_mixin.py:154} INFO - Data fetched containing 10 rows
[2024-10-06T19:15:52.456+0000] {logging_mixin.py:154} INFO - Data fetched containing 11 rows
[2024-10-06T19:15:52.457+0000] {logging_mixin.py:154} INFO - Data fetched containing 12 rows
[2024-10-06T19:15:52.458+0000] {logging_mixin.py:154} INFO - Data fetched containing 13 rows
[2024-10-06T19:15:52.460+0000] {logging_mixin.py:154} INFO - Data fetched containing 14 rows
[2024-10-06T19:15:52.461+0000] {logging_mixin.py:154} INFO - Data fetched containing 15 rows
[2024-10-06T19:15:52.463+0000] {logging_mixin.py:154} INFO - Data fetched containing 16 rows
[2024-10-06T19:15:52.464+0000] {logging_mixin.py:154} INFO - Data fetched containing 17 rows
[2024-10-06T19:15:52.465+0000] {logging_mixin.py:154} INFO - Data fetched containing 18 rows
[2024-10-06T19:15:52.467+0000] {logging_mixin.py:154} INFO - Data fetched containing 19 rows
[2024-10-06T19:15:52.469+0000] {logging_mixin.py:154} INFO - Data fetched containing 20 rows
[2024-10-06T19:15:52.471+0000] {logging_mixin.py:154} INFO - Data fetched containing 21 rows
[2024-10-06T19:15:52.472+0000] {logging_mixin.py:154} INFO - Data fetched containing 22 rows
[2024-10-06T19:15:52.474+0000] {logging_mixin.py:154} INFO - Data fetched containing 23 rows
[2024-10-06T19:15:52.476+0000] {logging_mixin.py:154} INFO - Data fetched containing 24 rows
[2024-10-06T19:15:52.478+0000] {logging_mixin.py:154} INFO - Data fetched containing 25 rows
[2024-10-06T19:15:52.479+0000] {logging_mixin.py:154} INFO - Data fetched containing 26 rows
[2024-10-06T19:15:52.480+0000] {logging_mixin.py:154} INFO - Data fetched containing 27 rows
[2024-10-06T19:15:52.481+0000] {logging_mixin.py:154} INFO - Data fetched containing 28 rows
[2024-10-06T19:15:52.482+0000] {logging_mixin.py:154} INFO - Data fetched containing 29 rows
[2024-10-06T19:15:52.483+0000] {logging_mixin.py:154} INFO - Data fetched containing 30 rows
[2024-10-06T19:15:52.484+0000] {logging_mixin.py:154} INFO - Data fetched containing 31 rows
[2024-10-06T19:15:52.486+0000] {logging_mixin.py:154} INFO - Data fetched containing 32 rows
[2024-10-06T19:15:52.487+0000] {logging_mixin.py:154} INFO - Data fetched containing 33 rows
[2024-10-06T19:15:52.488+0000] {logging_mixin.py:154} INFO - Data fetched containing 34 rows
[2024-10-06T19:15:52.489+0000] {logging_mixin.py:154} INFO - Data fetched containing 35 rows
[2024-10-06T19:15:52.491+0000] {logging_mixin.py:154} INFO - Data fetched containing 36 rows
[2024-10-06T19:15:52.492+0000] {logging_mixin.py:154} INFO - Data fetched containing 37 rows
[2024-10-06T19:15:52.494+0000] {logging_mixin.py:154} INFO - Data fetched containing 38 rows
[2024-10-06T19:15:52.495+0000] {logging_mixin.py:154} INFO - Data fetched containing 39 rows
[2024-10-06T19:15:52.496+0000] {logging_mixin.py:154} INFO - Data fetched containing 40 rows
[2024-10-06T19:15:52.497+0000] {logging_mixin.py:154} INFO - Data fetched containing 41 rows
[2024-10-06T19:15:52.498+0000] {logging_mixin.py:154} INFO - Data fetched containing 42 rows
[2024-10-06T19:15:52.500+0000] {logging_mixin.py:154} INFO - Data fetched containing 43 rows
[2024-10-06T19:15:52.501+0000] {logging_mixin.py:154} INFO - Data fetched containing 44 rows
[2024-10-06T19:15:52.502+0000] {logging_mixin.py:154} INFO - Data fetched containing 45 rows
[2024-10-06T19:15:52.503+0000] {logging_mixin.py:154} INFO - Data fetched containing 46 rows
[2024-10-06T19:15:52.504+0000] {logging_mixin.py:154} INFO - Data fetched containing 47 rows
[2024-10-06T19:15:52.505+0000] {logging_mixin.py:154} INFO - Data fetched containing 48 rows
[2024-10-06T19:15:52.506+0000] {logging_mixin.py:154} INFO - Data fetched containing 49 rows
[2024-10-06T19:15:52.507+0000] {logging_mixin.py:154} INFO - Data fetched containing 50 rows
[2024-10-06T19:15:52.508+0000] {logging_mixin.py:154} INFO - Data fetched containing 51 rows
[2024-10-06T19:15:52.509+0000] {logging_mixin.py:154} INFO - Data fetched containing 52 rows
[2024-10-06T19:15:52.510+0000] {logging_mixin.py:154} INFO - Data fetched containing 53 rows
[2024-10-06T19:15:52.511+0000] {logging_mixin.py:154} INFO - Data fetched containing 54 rows
[2024-10-06T19:15:52.512+0000] {logging_mixin.py:154} INFO - Data fetched containing 55 rows
[2024-10-06T19:15:52.513+0000] {logging_mixin.py:154} INFO - Data fetched containing 56 rows
[2024-10-06T19:15:52.514+0000] {logging_mixin.py:154} INFO - Data fetched containing 57 rows
[2024-10-06T19:15:52.515+0000] {logging_mixin.py:154} INFO - Data fetched containing 58 rows
[2024-10-06T19:15:52.516+0000] {logging_mixin.py:154} INFO - Data fetched containing 59 rows
[2024-10-06T19:15:52.517+0000] {logging_mixin.py:154} INFO - Data fetched containing 60 rows
[2024-10-06T19:15:52.519+0000] {logging_mixin.py:154} INFO - Data fetched containing 61 rows
[2024-10-06T19:15:52.520+0000] {logging_mixin.py:154} INFO - Data fetched containing 62 rows
[2024-10-06T19:15:52.521+0000] {logging_mixin.py:154} INFO - Data fetched containing 63 rows
[2024-10-06T19:15:52.522+0000] {logging_mixin.py:154} INFO - Data fetched containing 64 rows
[2024-10-06T19:15:52.523+0000] {logging_mixin.py:154} INFO - Data fetched containing 65 rows
[2024-10-06T19:15:52.524+0000] {logging_mixin.py:154} INFO - Data fetched containing 66 rows
[2024-10-06T19:15:52.525+0000] {logging_mixin.py:154} INFO - Data fetched containing 67 rows
[2024-10-06T19:15:52.526+0000] {logging_mixin.py:154} INFO - Data fetched containing 68 rows
[2024-10-06T19:15:52.527+0000] {logging_mixin.py:154} INFO - Data fetched containing 69 rows
[2024-10-06T19:15:52.529+0000] {logging_mixin.py:154} INFO - Data fetched containing 70 rows
[2024-10-06T19:15:52.530+0000] {logging_mixin.py:154} INFO - Data fetched containing 71 rows
[2024-10-06T19:15:52.531+0000] {logging_mixin.py:154} INFO - Data fetched containing 72 rows
[2024-10-06T19:15:52.532+0000] {logging_mixin.py:154} INFO - Data fetched containing 73 rows
[2024-10-06T19:15:52.533+0000] {logging_mixin.py:154} INFO - Data fetched containing 74 rows
[2024-10-06T19:15:52.534+0000] {logging_mixin.py:154} INFO - Data fetched containing 75 rows
[2024-10-06T19:15:52.535+0000] {logging_mixin.py:154} INFO - Data fetched containing 76 rows
[2024-10-06T19:15:52.536+0000] {logging_mixin.py:154} INFO - Data fetched containing 77 rows
[2024-10-06T19:15:52.537+0000] {logging_mixin.py:154} INFO - Data fetched containing 78 rows
[2024-10-06T19:15:52.538+0000] {logging_mixin.py:154} INFO - Data fetched containing 79 rows
[2024-10-06T19:15:52.539+0000] {logging_mixin.py:154} INFO - Data fetched containing 80 rows
[2024-10-06T19:15:52.540+0000] {logging_mixin.py:154} INFO - Data fetched containing 81 rows
[2024-10-06T19:15:52.541+0000] {logging_mixin.py:154} INFO - Data fetched containing 82 rows
[2024-10-06T19:15:52.542+0000] {logging_mixin.py:154} INFO - Data fetched containing 83 rows
[2024-10-06T19:15:52.543+0000] {logging_mixin.py:154} INFO - Data fetched containing 84 rows
[2024-10-06T19:15:52.544+0000] {logging_mixin.py:154} INFO - Data fetched containing 85 rows
[2024-10-06T19:15:52.545+0000] {logging_mixin.py:154} INFO - Data fetched containing 86 rows
[2024-10-06T19:15:52.546+0000] {logging_mixin.py:154} INFO - Data fetched containing 87 rows
[2024-10-06T19:15:52.547+0000] {logging_mixin.py:154} INFO - Data fetched containing 88 rows
[2024-10-06T19:15:52.548+0000] {logging_mixin.py:154} INFO - Data fetched containing 89 rows
[2024-10-06T19:15:52.549+0000] {logging_mixin.py:154} INFO - Data fetched containing 90 rows
[2024-10-06T19:15:52.550+0000] {logging_mixin.py:154} INFO - Data fetched containing 91 rows
[2024-10-06T19:15:52.551+0000] {logging_mixin.py:154} INFO - Data fetched containing 92 rows
[2024-10-06T19:15:52.552+0000] {logging_mixin.py:154} INFO - Data fetched containing 93 rows
[2024-10-06T19:15:52.553+0000] {logging_mixin.py:154} INFO - Data fetched containing 94 rows
[2024-10-06T19:15:52.554+0000] {logging_mixin.py:154} INFO - Data fetched containing 95 rows
[2024-10-06T19:15:52.555+0000] {logging_mixin.py:154} INFO - Data fetched containing 96 rows
[2024-10-06T19:15:52.556+0000] {logging_mixin.py:154} INFO - Data fetched containing 97 rows
[2024-10-06T19:15:52.557+0000] {logging_mixin.py:154} INFO - Data fetched containing 98 rows
[2024-10-06T19:15:52.558+0000] {logging_mixin.py:154} INFO - Data fetched containing 99 rows
[2024-10-06T19:15:52.558+0000] {logging_mixin.py:154} INFO - Data fetched containing 100 rows
